Eslabón,qx,qy,qz,qw
0,0.0,0.0,0.0,1.0
1,-1.142362523890417e-15,-0.7071067811865475,0.7071067811865475,1.1423625238904173e-15
2,-0.287606238475949,0.6459741880212517,-0.645974188021251,-0.2876062384759511
3,-0.1650707998190745,-0.6875693645350197,0.6875693645350204,-0.16507079981907233
4,5.871645904080961e-16,0.3634468523496609,-1.5273201535336146e-15,0.9316149341423869
5,-0.04761244680586411,0.4868749364173415,0.7055019878846267,-0.5127892318376124
6,-0.3545195008980427,0.3370905995207139,0.8690540694841709,0.07369447408571703
