t1,t2,t3,t4,t5,t6
0,-2.51327412287183,-2,-0.269432641193824,-2.01240857184695,1.51282369885457
0,-2.51327412287183,-2.0943951023932,0.802734217766205,-2.27673521812695,1.75805266407785
0,-2.51327412287183,-1.83259571459405,-0.993835984956128,-1.77083603299217,2.16574504007439
0,-2.51327412287183,-1.5707963267949,-0.955190996305261,-2.06489817323309,2.91449539261751
0,-2.51327412287183,-1.30899693899575,-0.149377749477554,-1.86550930389728,0.719824981831007
0,-2.51327412287183,2,-3.01294370311424,-2.53000912149189,0.516133477095586
0,-2.51327412287183,2.0943951023932,-3.37493320013556,-1.89704310515416,1.26970455748476
0,-2.51327412287183,1.83259571459405,-3.151180500976,-2.00693367344678,0.826960989558716
0,-2.51327412287183,1.5707963267949,-1.21538963628427,-1.76272759807928,2.12928953302411
0,-2.51327412287183,1.30899693899575,0.62397609972284,-2.08982696826778,0.356157241143479
0,-2.30383461263251,-2,-2.04861975242244,-1.85792118725291,0.502132011300165
0,-2.30383461263251,-2.0943951023932,-2.28013290104249,-2.52965078584518,1.32377860867752
0,-2.30383461263251,-1.83259571459405,0.818039491935676,-2.35966431589898,1.2252266951691
0,-2.30383461263251,-1.5707963267949,-0.313991578032253,-2.05475153510855,1.52543028818691
0,-2.30383461263251,-1.30899693899575,-3.15597519231686,-1.81284676576798,0.681599534789277
0,-2.30383461263251,2,-3.09915149544296,-2.48858150766299,1.79326790752322
0,-2.30383461263251,2.0943951023932,-1.24772894214315,-2.05497238880874,0.006111862170748
0,-2.30383461263251,1.83259571459405,-1.67944174097805,-2.3684033429282,1.66179017669988
0,-2.30383461263251,1.5707963267949,-0.592758339748709,-2.34540547015861,1.79943874734819
0,-2.30383461263251,1.30899693899575,-2.60006044320521,-2.47917356983174,0.120651292119971
0,-2.0943951023932,-2,0.842000094546348,-2.11072901155624,2.51823394161453
0,-2.0943951023932,-2.0943951023932,0.446300533060332,-2.24144733061396,0.054819025158278
0,-2.0943951023932,-1.83259571459405,-1.06844241912796,-2.12728962257134,2.93064268884975
0,-2.0943951023932,-1.5707963267949,-2.11566980738854,-1.86980347290449,2.75497535377268
0,-2.0943951023932,-1.30899693899575,-2.63785940529441,-1.76727146190841,0.441046489771294
0,-2.0943951023932,2,-0.729648984468618,-1.9666187204878,1.47961674849943
0,-2.0943951023932,2.0943951023932,-3.04454084920312,-1.88472501797229,0.054510664408754
0,-2.0943951023932,1.83259571459405,-0.540663980162919,-1.86701899850874,0.843928096969641
0,-2.0943951023932,1.5707963267949,-0.033346771741889,-2.09242513955829,0.695587414469257
0,-2.0943951023932,1.30899693899575,0.017814280977191,-2.34310093285742,1.32711507318646
0,-1.88495559215388,-2,-0.261016500552379,-1.9363479321357,3.08253447184497
0,-1.88495559215388,-2.0943951023932,-2.20081345772828,-1.85002295108198,0.825557093591599
0,-1.88495559215388,-1.83259571459405,-0.310658293165885,-2.41652815273961,3.10594076856392
0,-1.88495559215388,-1.5707963267949,-1.45667627826273,-1.79841938222182,0.46504066169588
0,-1.88495559215388,-1.30899693899575,-0.972788712783287,-2.6029764031765,0.441845900079425
0,-1.88495559215388,2,-0.082053963847644,-2.54287496574712,2.19363805646735
0,-1.88495559215388,2.0943951023932,-1.46946061803638,-2.47730418843823,1.34393298579477
0,-1.88495559215388,1.83259571459405,-3.1359539077567,-2.25625473585632,2.76894005162172
0,-1.88495559215388,1.5707963267949,-3.36043287260088,-2.38269541491222,2.1497381913953
0,-1.88495559215388,1.30899693899575,-2.71490183366117,-2.12705095633241,0.948220415467092
0,-1.67551608191456,-2,0.061576293044872,-2.16453792316808,1.07275206707581
0,-1.67551608191456,-2.0943951023932,-1.28876432875619,-2.52154933789358,0.102524967483578
