Eslabón,x,y,z
0,0,0,0
1,0.0,0.0,0.089159
2,0.3438322226093506,1.5296373215877602e-17,-0.1606497322243039
3,0.4214199608173218,-8.247457944802802e-18,0.22385020975198727
4,0.4214199608173218,0.10914999999999998,0.22385020975198727
5,0.33548864994959043,0.10915,0.1841710929201662
6,0.3067896456075845,0.15483112725561674,0.24632325911277506
0,0,0,0
1,0.0,0.0,0.089159
2,0.3438322226093506,1.5296373215877602e-17,-0.1606497322243039
3,0.3848335123260903,-8.59043690437685e-18,0.22945148123390102
4,0.3848335123260903,0.10914999999999998,0.22945148123390102
5,0.45272804643465814,0.10914999999999998,0.2953980864397835
6,0.3954382066979641,0.11265431585485766,0.3543801517930187
0,0,0,0
1,0.0,0.0,0.089159
2,0.3438322226093506,1.5296373215877602e-17,-0.1606497322243039
3,0.48440205081849735,-7.126721221341349e-18,0.2055471900692224
4,0.48440205081849735,0.10914999999999998,0.2055471900692224
5,0.43779863650125594,0.10914999999999998,0.2879288887284242
6,0.40923488752657566,0.03367613876580178,0.2717703456346783
0,0,0,0
1,0.0,0.0,0.089159
2,0.3438322226093506,1.5296373215877602e-17,-0.1606497322243039
3,0.5743909878210758,-4.1349087083249924e-18,0.15668718381926733
4,0.5743909878210758,0.10915,0.15668718381926733
5,0.5074376705865281,0.10915,0.22358917042123616
6,0.5630261932419538,0.13340651948551618,0.27922034343993135
0,0,0,0
1,0.0,0.0,0.089159
2,0.3438322226093506,1.5296373215877602e-17,-0.1606497322243039
3,0.6486677259908495,1.8111355611410296e-19,0.08620119116499222
4,0.6486677259908495,0.10915,0.08620119116499222
5,0.7407342473530127,0.10915000000000001,0.06423808245355625
6,0.7220080663454946,0.12529699172965642,-0.014259655112287481
0,0,0,0
1,0.0,0.0,0.089159
2,0.3438322226093506,1.5296373215877602e-17,-0.1606497322243039
3,0.002126976939064107,2.7090171362400778e-17,-0.35325707263844586
4,0.002126976939064107,0.10915000000000002,-0.35325707263844586
5,0.01218061264609624,0.10915000000000002,-0.2591425312058368
6,0.08729746531369736,0.07649483117302076,-0.2671667691257509
0,0,0,0
1,0.0,0.0,0.089159
2,0.3438322226093506,1.5296373215877602e-17,-0.1606497322243039
3,-0.014505983150961632,2.506553064453668e-17,-0.3201921804707819
4,-0.014505983150961632,0.10915000000000002,-0.3201921804707819
5,0.019925560525769152,0.10915000000000002,-0.23202704393690374
6,0.02891589558731407,0.1908821019554585,-0.2355380815931669
0,0,0,0
1,0.0,0.0,0.089159
2,0.3438322226093506,1.5296373215877602e-17,-0.1606497322243039
3,0.03899671922785081,3.0411632875641036e-17,-0.40750065561359894
4,0.03899671922785081,0.10915000000000002,-0.40750065561359894
5,0.13361558529771095,0.10915000000000002,-0.40507317056650394
6,0.13536064266564954,0.15544953284775004,-0.47309227106675106
0,0,0,0
1,0.0,0.0,0.089159
